electkwh,PV_generation,chargekwh,h_countdown,soc_ev,month,day,hour
0.106,0.0,,-1.0,1.0,11,1,0
0.125,0.0,,-1.0,1.0,11,1,1
0.126,0.0,,-1.0,1.0,11,1,2
0.129,0.0,,-1.0,1.0,11,1,3
0.129,0.0,,-1.0,1.0,11,1,4
0.13,0.0,,-1.0,1.0,11,1,5
0.14500000000000002,0.031,,-1.0,1.0,11,1,6
0.579,0.22600000000000003,,-1.0,1.0,11,1,7
1.4969999999999999,0.545,,-1.0,1.0,11,1,8
1.432,0.685,,-1.0,1.0,11,1,9
4.132,0.622,,-1.0,1.0,11,1,10
1.4889999999999999,0.539,,-1.0,1.0,11,1,11
1.19,0.602,,-1.0,1.0,11,1,12
1.971,0.406,,-1.0,1.0,11,1,13
0.774,0.23399999999999999,,-1.0,1.0,11,1,14
0.6749999999999999,0.043,,-1.0,1.0,11,1,15
0.646,0.0,,-1.0,1.0,11,1,16
1.104,0.0,,-1.0,1.0,11,1,17
0.274,0.0,,-1.0,1.0,11,1,18
0.288,0.0,,-1.0,1.0,11,1,19
0.363,0.0,,-1.0,1.0,11,1,20
0.16099999999999998,0.0,,-1.0,1.0,11,1,21
0.08299999999999999,0.0,,-1.0,1.0,11,1,22
0.08,0.0,,-1.0,1.0,11,1,23
0.081,0.0,,-1.0,1.0,11,2,0
0.09999999999999999,0.0,,-1.0,1.0,11,2,1
0.309,0.0,,-1.0,1.0,11,2,2
0.30199999999999994,0.0,,-1.0,1.0,11,2,3
0.296,0.0,,-1.0,1.0,11,2,4
0.35699999999999993,0.0,,-1.0,1.0,11,2,5
0.138,0.101,,-1.0,1.0,11,2,6
1.7349999999999999,0.418,,-1.0,1.0,11,2,7
1.23,0.677,,-1.0,1.0,11,2,8
1.8210000000000002,0.733,,-1.0,1.0,11,2,9
2.878,2.167,,-1.0,1.0,11,2,10
1.242,2.1060000000000003,,-1.0,1.0,11,2,11
1.4769999999999999,3.335,,-1.0,1.0,11,2,12
1.681,0.9119999999999999,,-1.0,1.0,11,2,13
1.383,0.923,,-1.0,1.0,11,2,14
0.882,0.191,,-1.0,1.0,11,2,15
1.703,0.0,,-1.0,1.0,11,2,16
1.06,0.0,,-1.0,1.0,11,2,17
0.834,0.0,,-1.0,1.0,11,2,18
0.237,0.0,,-1.0,1.0,11,2,19
0.20400000000000001,0.0,,-1.0,1.0,11,2,20
0.112,0.0,,-1.0,1.0,11,2,21
0.132,0.0,,-1.0,1.0,11,2,22
0.136,0.0,,-1.0,1.0,11,2,23
0.135,0.0,,-1.0,1.0,11,3,0
0.132,0.0,,-1.0,1.0,11,3,1
0.13,0.0,,-1.0,1.0,11,3,2
0.098,0.0,,-1.0,1.0,11,3,3
0.085,0.0,,-1.0,1.0,11,3,4
0.335,0.0,,-1.0,1.0,11,3,5
0.377,0.038,,-1.0,1.0,11,3,6
0.99,0.38100000000000006,,-1.0,1.0,11,3,7
0.531,1.657,,-1.0,1.0,11,3,8
0.448,1.72,,-1.0,1.0,11,3,9
2.7929999999999997,3.126,,-1.0,1.0,11,3,10
1.3820000000000001,1.292,,-1.0,1.0,11,3,11
0.715,0.842,,-1.0,1.0,11,3,12
0.6719999999999999,0.371,,-1.0,1.0,11,3,13
1.338,0.123,,-1.0,1.0,11,3,14
0.991,0.01,,-1.0,1.0,11,3,15
0.34,0.0,,-1.0,1.0,11,3,16
0.7889999999999999,0.0,,-1.0,1.0,11,3,17
0.872,0.0,,-1.0,1.0,11,3,18
0.8980000000000001,0.0,,-1.0,1.0,11,3,19
0.7030000000000001,0.0,,-1.0,1.0,11,3,20
0.31700000000000006,0.0,,-1.0,1.0,11,3,21
0.089,0.0,,-1.0,1.0,11,3,22
0.087,0.0,,-1.0,1.0,11,3,23
0.088,0.0,,-1.0,1.0,11,4,0
0.08499999999999999,0.0,,-1.0,1.0,11,4,1
